,data
142,"[""'WHEN"", 'HE', 'SAY', '""', 'iS', 'YOU', 'CHEATiN', 'ON', 'ME', '""', 'THAT', 'JUST', '#REALLYMEANS', ',', 'HE', 'ALREADY', 'CHEATiN', ""!'""]"
143,"['party', 'today', '&lt;', '3', ':)', 'happy', 'birthday', 'florence', '&lt;', '3']"
144,"['@JoshenReborn', 'let', 'me', 'know', 'if', 'or', 'when', 'you', 'are', 'coming', '.', '#FullHouse']"
145,"['u', 'kno', 'that', 'day', 'when', 'the', 'wanted', 'will', 'go', '2', 'a', 'radio', 'station', 'to', 'find', 'out', 'if', 'there', 'number', '1', 'with', 'heart', 'vacancy', ',', 'when', 'will', 'that', 'be', '?']"
146,"['Great', '#fail', 'photo', 'from', '@joshbuisch', ',', 'who', 'gets', 'my', '#FF', 'vote', 'for', 'the', 'day', 'for', 'being', 'hilarious', '!', 'http://bit.ly/bA3lUl']"
147,"['$$', '#forex', '#fx', ':', 'Forex', 'Articles', 'for', 'the', 'Weekend', 'September', '18lo', 'http://www.forexcrunch.com/forex-articles-for-the-weekend-september-18lo/']"
148,"['#uknouugly', 'when', '#TeamFollowBack', 'dnt', 'follow', 'you', 'back']"
149,"['@Maike_84', 'Flikken', 'is', 'geweldig', '!', 'Ik', 'kan', 'niet', 'wachten', 'tot', 'de', 'nieuwe', 'serie', 'in', 'november', '..', '(geloof', 'ik', ')', 'Dit', 'jaar', 'alles', 'gezien', 'via', 'uitzendinggemist', '.']"
150,"['RT', '@BieberPledge', ':', 'When', 'I', 'Get', 'Old', ',', 'Imma', 'Still', 'Be', 'Rockin', 'Out', 'To', ""'"", ""Baby'...Even"", 'If', 'I', 'Break', 'A', 'Hip', ';)']"
151,"['Is', 'sad', 'that', 'she', ""'s"", 'missing', 'Cowboy', 'Mouth', 'tonight', ':(']"
152,"['@CWWatson', 'one', 'of', 'the', 'complainers', 'is', 'a', 'child', 'minder', 'who', 'brings', 'kids', 'to', 'the', 'school', 'then', 'looks', 'after', 'other', 'kids', 'thro', 'the', 'day', '.', 'Beggers', 'belief']"
153,"['RT', '@fredthompson', ':', 'WH', 'rejects', '""', 'global', 'warming', '"",', 'favors', 'term', '""', 'global', 'climate', 'disruption', '"".', 'Ya', 'know', ',', 'I', 'remember', 'back', 'when', 'we', 'used', 'to', 'call', 'it', '...']"
154,"['George', 'N', '.', 'Parks', ',', 'UMass', 'band', 'director', ',', 'dies', 'after', 'performance', 'in', 'Ohio', ':', 'George', 'N', '.', 'Parks', ',', 'for', '33', 'years', 'the', 'dire', '...', 'http://tinyurl.com/2femvgq']"
155,"['For', 'code', 'I', ""'ve"", 'written', 'since', 'Sept', ""'"", '09', ',', 'the', 'delay', 'between', 'commit', 'to', 'SCM', 'and', 'running', 'on', 'customer', 'hardware', 'has', 'been', 'about', '10', 'days', '.']"
156,"['have', 'to', 'sleep', 'now', '!', 'gym', ',', 'facial', ',', 'then', 'SUPAHFEST', 'tonight', 'i', 'need', 'my', 'kuya', ""'s"", 'driver', '...', 'MOSH', 'PIT', 'VIP', 'common']"
157,"['@jeffstinco', 'where', 'are', 'you', '???', '=D', 'hey', 'when', 'a', 'new', 'videochat', 'on', 'spcrew', '??!!!', ';)']"
158,"['Hurry', 'up', '!', 'Santy', 'will', 'be', 'Leaving', 'in', '2', 'days', '!', '-', '#Eskorte', 'and', '#Massasje', 'i', '#Norge']"
159,"['mothers', 'day', 'greeting', 'cards', ':)', 'Surrounded', 'by', 'Mothers', 'Day', 'and', 'Dreading', 'It', '?', 'http://bit.ly/a7d7tg']"
160,"['Lol', 'lucky', 'me', ',', 'u', 'remembered', 'me', ':D', '...', 'When', 'u', 'c', 'her', 'again', 'tell', 'her', 'I', 'say', 'hi', 'x', ')']"
161,"['Now', 'time', 'too', 'do', 'my', 'hair', '!', 'New', 'look', 'on', 'deck', '!']"
162,"['RT', '@JDay_Sept15', ':', 'RT', '@Ashanie_di_Don', ':', '@JDay_Sept15', 'lol', 'i', 'see', 'someone', 'hyped', 'and', 'ready', 'for', '#FlavaFridays', 'tonight', '&lt;', 'every', 'week', '.', 'Lets', 'get', 'it', '!']"
163,"['Chevron', 'gouging', 'consumers', 'by', 'claiming', 'payments', 'are', 'late', 'when', 'in', 'reality', 'statement', 'delivery', 'is', 'very', 'poor', 'turnaround', 'time', '.', 'charging', 'hefty', 'fee', ""'s""]"
164,"['RT', '@therbertson', ':', 'Just', 'saw', 'the', 'worst', 'movie', 'in', 'years', '...', 'Piranha', '3D', 'just', 'exceeded', 'the', 'limits', 'of', 'crappyness', '.', '|', 'Glad', 'you', 'enjoyed', 'it', '.']"
165,"['Do', ""n't"", 'miss', 'our', 'Half', 'Way', 'to', 'St', '.', 'Patty', ""'s"", 'Day', 'Party', 'Tonight', '!', 'We', ""'re"", 'having', 'crazy', 'drink', 'Specials', 'too', '..', 'tex', '980-333-3923', 'to', 'get', 'on', 'the', 'guest', 'list', '!']"
166,"['Sweet', '!', 'RT', '@SimoneSOliver', ':', 'Here', ""'s"", 'the', 'London', 'Fashion', 'Week', 'schedule', ':', 'http://nyti.ms/bW0N3u']"
167,"['RT', '@BiebersFairies', ':', 'the', 'day', 'Justin', 'Bieber', 'was', 'born', 'was', 'a', 'rainy', 'day', ',', 'but', 'it', 'was', 'no', 'rain', ',', 'NO', '!', 'the', 'heaven', 'was', 'crying', 'cause', 'he', 'lost', 'his', 'most', '...']"
168,"['dude', 'got', 'gucci', 'symbol', 'tatted', 'all', 'over', 'his', 'face', 'http://mediacheckout.blogspot.com/2010/09/nuh-uhhhhhhh-yesterday-we-showed-you.html']"
169,"['good', 'day', '.', 'bad', 'day', '.', 'good', 'day', '?', 'merek', 'minuman', 'sachet']"
170,"['@TheWon_A', 'Crooked', 'is', 'in', 'town', 'October', '7th', '!!']"
171,"['If', 'you', 'are', 'staying', 'in', 'Gainesville', ',', 'come', 'check', 'out', 'Costa', 'Lounge', 'TONIGHT', '!', 'Say', 'you', 'are', 'with', 'salsa', 'caliente', 'and', 'get', 'in', '...', 'http://fb.me/FZVzm8H9']"
172,"['havnt', 'lost', 'a', 'game', 'in', 'open', 'gym', 'all', 'week', '..', 'now', 'to', 'go', 'get', 'dat', 'fresh', 'cut']"
173,"['Looking', 'to', 'list', 'another', 'property', 'tomorrow', 'in', 'Greenville', ',', 'OH']"
174,"['If', 'you', 'are', 'in', 'Belfast', 'this', 'weekend', 'go', 'to', 'Botanic', 'Gdns', ',', 'for', 'Taste', 'N', 'I', ',', 'free', 'food', 'drink', 'face', 'painting', 'etc', '.', 'Should', 'be', 'good', 'day', 'out', '.', 'Sat', '&amp;', 'Sun']"
175,"['RT', '@TeamVA', ':', '81', 'Days', 'Till', 'Last', 'Sacrifice']"
176,"['@spookytown', 'omg', 'was', 'it', 'Today', '??', 'ill', 'go', 'to', 'bed', 'soon', 'so', 'ill', 'read', 'tomorrow', '.', 'Looking', 'forward', 'hehe']"
177,"['-CHANGE', 'OF', 'ROOM', '!', '-', ""FATHER'S"", 'DAY', 'auditions', 'Sept', '25', 'CANWEST', 'Center', 'for', 'Theater', 'and', 'Film', 'U', 'of', 'W', 'ROOM', '0T15', '11:30', 'am', '-', '4:00', 'PM', '.']"
178,"['The', 'bank', 'teller', 'I', 'always', 'go', 'to', 'wants', 'me', '.', 'Lol', '.', 'No', 'shit', '.', 'She', 'left', 'me', 'wide', 'open', 'for', 'tomorrow', '.', 'Too', 'bad', 'I', 'already', 'have', 'fucking', 'plans', '!']"
179,"['RT', '@lil_jeezy_85', ':', 'Going', 'live', 'tonight', 'and', '2mmrow', '&lt;', 'what', 'you', 'performing', 'somewhere', '?']"
180,"['@jimmy722', 'surgery', 'or', 'not', ',', 'the', 'most', 'important', 'thing', 'is', 'that', ""'ll"", 'be', 'all', 'okay', 'after', 'that', '!']"
181,"['@glacerie', 'It', ""'s"", 'in', 'my', 'tweets', 'a', 'year', 'ago', ""I'll"", 'pull', 'up', 'the', 'story', 'later', 'on', '.', 'Just', 'hope', 'the', 'film', 'helps', 'Shange', 'sell', 'more', 'books', '.']"
182,"['@BieberPaycee', 'in', 'like', '3', 'days', 'I', 'think', '...', 'Well', 'that', ""'s"", 'when', 'the', 'single', ""'s"", 'released', ':P']"
183,"['Fresh', 'out', 'the', 'psych', 'ward', 'today']"
184,"['Home', 'made', 'cod', '&amp;', 'chips', '+', 'bottle', 'of', 'Microsoft', 'provided', 'champagne', '=', 'top', 'class', 'Friday', ';-)']"
185,"['RT', '@AwwBieber', ':', 'Boyfriend', ':', 'Ive', 'got', 'dinner', 'planned', 'for', 'Valentines', 'Day', '.', 'Me', ':', 'Sorry', ',', 'i', 'wont', 'have', 'time', 'for', 'u', 'or', 'your', 'dinner', '.....', 'Im', 'Watching', 'Bie', '...']"
186,"['The', 'last', 'time', 'I', 'chatted', 'with', 'Kyle', 'was', 'June', '.', 'The', 'last', 'time', 'we', 'emailed', 'was', 'August', '.']"
187,"['Football', 'game', 'tonight', '!!!!!', 'V-I-K-I-N-G-S', '!!!!!!!']"
188,"['i', 'swear', 'when', 'you', 'miss', '1', 'day', 'of', 'school', ',', 'feels', 'like', 'you', 'missed', 'a', 'whole', 'year', '!', 'dont', 'even', 'have', 'homwork', 'today', ',', 'suprising', '?']"
189,"['@DahlDana', 'ooooh', 'when', ""'s"", 'he', 'releasing', 'it', '?']"
190,"['ASPCA', 'PETA', 'HSUS', '..', 'Animal', 'rescue', 'or', 'BIG', 'BUSINESS', '?', 'http://tl.gd/63aeok', 'CK', 'OUT', 'THIS', 'SERIES', 'OF', 'LINKS', 'BEFORE', 'YOU', 'DONATE']"
191,"['Shot', 'with', 'a', 'Jaybilizer', 'today', '...', 'my', 'teacher', 'designed', 'this', ',', 'totally', 'sweet', '!', 'http://jaybilizer.com/products/jaybilizer-hdslr/']"
192,"['RT', '@DGCLEAN', ':', 'This', 'weeks', 'daily', 'Deal', 'is', 'a', 'twofer', '1', ':', 'window', 'cleaning', '$4', 'per', 'window', 'with', 'a', '$100', 'minimum', 'or', 'as', 'an', 'add', 'on', 'to', 'a', '......']"
193,"['@valdary', 'sorry', 'i', 'meant', 'my', 'dad', 'in', 'the', 'first', 'tweet', ',', 'my', 'mums', 'been', 'dead', '5', 'years', '.']"
194,"['smh', 'i', 'love', 'my', 'male', 'friends', '......', 'my', 'female', 'friends', 'well', 'i', 'like', 'yall', 'most', 'of', 'the', 'time', 'lol']"
195,"['@samanthaaai', 'Up', 'super', 'duper', 'early', 'next', 'week', ':', '|']"
196,"['Snooth', 'Talk', ':', 'Zinfandel', 'Port', ':', 'This', 'week', 'is', 'all', 'about', 'Zinfandel', ',', 'and', 'just', 'last', 'night', 'I', 'released', 'a', 'post', 'on', 'Zinfandel', '...', 'http://bit.ly/972Sik']"
197,"['@vivarocks777', 'just', 'giving', 'a', 'hard', 'time', 'so', ""don't"", 'hurt', 'me']"
198,"['@sarahk47', 'Okay', 'The', 'doc', ""'s"", 'saying', 'Keep', 'it', 'tamped', 'down', 'a', 'coupla', 'days', 'then', 'bring', 'her', 'out', 'early', '?']"
199,"['MD', 'Jobs', '|', 'Executive', 'Pharmacist-Full', 'Time', 'Float-Ellicott', 'City', ',', 'MD', 'Job', '(', 'MD', ')', 'http://bit.ly/daNH6v', '#Job', '#Hiring', '#MDJobs']"
200,"['RT', '@Georg_Grey', ':', 'Man', ':""', 'Is', 'there', 'any', 'way', 'for', 'a', 'long', 'life', '?""', 'Doctor', ':', '""', 'Get', 'married', '.""', 'Man', ':""', 'Will', 'it', 'help', '?""', 'Doctor', ':""', 'No', ',', 'but', 'the', 'thought', 'of', 'long', 'li', '...']"
201,"['@_mcintyre', 'agreed', 'lolzaa', 'also', 'hate', 'school', 'for', 'making', 'a', 'long', 'lie', '10:30', '.', ':(', 'xx']"
202,"['@keoghsie', 'It', ""'s"", 'been', 'ages', '!!', 'How', 'are', 'you', '?', ""We've"", 'been', 'doing', 'non-Twitter', 'stuff', 'for', 'a', 'while', ',', 'but', 'now', 'have', 'time', 'for', 'yapping', 'again', '!', 'HUrrah', '!!']"
203,"['@ScottBourne', 'Oh', 'hi', ',', 'I', 'swear', 'I', 'can', 'scroll', 'down', 'past', 'actual', 'text', 'on', 'a', 'page', '.', ""I'll"", 'definitely', 'pick', 'that', 'up', 'this', 'next', 'week', '.', 'Thanks', '.', ':)']"
204,"['Sunday', 'can', 'you', 'please', 'hurry', 'up', 'and', 'get', 'here', 'already', '?!', 'I', 'want', 'to', 'see', '@nickjonas', '@kevinjonas', '@joejonas', 'already', '!', 'Concert', ""'s"", 'going', 'to', 'be', 'rad', '!', ':P']"
205,"['Ready', 'for', 'Friday', 'night', 'at', 'The', 'Pub', '!', 'DUDE', 'Jones', 'playing', 'inside', 'and', 'DJ', 'Chris', 'L', 'in', 'Loft']"
206,"['#cl', 'CamelBak', 'BPA-Free', 'Better', 'Bottle', 'with', 'Bite', 'Valve', 'by', 'Camelbak', '93', 'days', 'in', 'the', 'top', '100', '(', '494)Buy', 'new', ':', '$', '4.99', '-', '$1', '...', 'http://bit.ly/9YA597']"
207,"['Football', 'game', 'tonight', 'with', 'mariaelena', ',', 'sarah', ',', 'and', 'brittany', '!', 'Mood', ':', 'excited', '!!', 'GOO', 'WB', 'WILDCATS', '!']"
208,"['An', 'Entire', 'Facebook', 'Photo', 'Album', 'Captured', 'in', 'a', 'Single', 'Long', 'Exposure', 'Photograph', '[', 'Photography]', ':']"
209,"['ohh', 'right', '...', 'im', 'an', 'actor', '...', 'back', 'to', 'work', 'tonight', 'WOOT']"
210,"['OMG', '!', 'Miley', 'Cyrus', 'Has', 'A', '14-Year-Old', 'Stalker', '!:', 'First', 'Paris', 'Hilton', ',', 'now', 'Miley', 'Cyrus', '!', 'Cops', 'responded', 'to', 'a', 'break', 'in', 'cal', '...', 'http://bit.ly/cd6OPC']"
211,"['@AddieWilliams', 'Dat', ""'s"", 'what', ""I'm"", 'talkin', ""'"", ""'"", 'bout', '.', 'In', '20', 'years', 'who', 'knows', '.', 'Maybe', 'Mr', '.', 'and', 'Mrs', '...', '?']"
212,"['From', 'Green', 'Newsfeed', ':', 'AHFA', 'extends', 'deadline', 'for', 'Sage', 'Award', 'to', 'Nov', '.', '5', 'http://tinyurl.com/24agj38']"
213,"['overheard', 'on', 'subway', '...""', 'so', 'when', 'you', 'run', ',', 'do', 'your', 'elbows', 'sweat', '?""']"
214,"['RT', '@DaymiCarolina', ':', 'Yayaayayay', 'kings', 'of', 'leon', 'tonight', '!!!']"
215,"['Accounts', 'Payable', 'Coordinator', 'North', 'York', '-', '$37K', '(', '1', 'year', 'Contract)Location', ':', 'Toronto', ',', 'Ontario', ',', 'CANADA', '...', 'http://bit.ly/aOe78A', '#jobs']"
216,"['This', 'is', 'a', 'battle', 'song', '..', 'Brothers', 'and', 'sisters', '..', 'Time', 'to', 'go', 'to', 'war', '!']"
217,"[""I'm"", 'almost', 'halfway', 'through', 'my', '#cleaneating', 'challenge', '!', 'http://bit.ly/9mVsCQ', 'Getting', 'takeout', 'for', 'the', 'first', 'time', 'tonight', '-', 'what', 'to', 'get', '?!']"
218,"['made', 'sure', 'im', 'off', 'next', 'friday']"
219,"['@sarahXtinchyBBK', 'looool', 'u', 'hav', 'made', 'me', 'want', 'mcdz', 'again', 'an', 'im', 'tryin', '2', 'stay', 'off', 'that', 'had', 'it', 'all', 'week', 'an', 'sounds', 'nice', ':D', 'x']"
220,"['New', 'show', 'announced', 'in', 'Orillia', ',', 'ON', 'at', 'Leacock', 'Museum', 'on', 'October', '24', ',', '2010', 'http://artistdata.com/a/26up']"
221,"['cant', 'believe', 'im', 'going', 'to', 'have', 'to', 'get', 'up', 'at', 'half', '8', 'on', 'sunday', ':(', 'ahhhhh', '.', 'should', 'be', 'a', 'laugh', 'though', ':)']"
222,"['And', 'we', 'had', 'some', 'amazing', 'dessert', 'wines', 'too', '!', 'First', 'time', ""I've"", 'tried', 'that', ',', 'but', 'now', 'a', 'convert', '.', 'Will', 'have', 'to', 'add', 'wine', 'to', 'dessert', 'from', 'now', 'on', '!', 'Yum', '!']"
223,"['cant', 'believe', 'her', 'brother', 'is', 'leaving', 'for', 'uni', 'tomorrow', '!', 'He', ""'s"", 'taking', 'all', 'the', 'best', 'dvds', '!']"
224,"['@FH14', 'I', 'ironed', 'mine', 'just', 'fine', '.', 'You', 'may', 'want', 'to', 'wash', 'it', 'first', ',', 'though', ',', 'so', 'it', 'gets', 'really', 'soft', '.', 'If', 'you', 'want', 'to', 'be', 'extra', 'safe', 'do', 'on', 'the', 'reverse']"
225,"[""I'll"", 'go', 'get', 'some', '#sleep', 'before', 'some', '#TGS', '#news', ',', 'later', 'everyone', 'x', ')', '!']"
226,"['EXA-OIL', '.', 'COM', 'Deep', 'Sea', 'Intervention', 'opens', 'Singapore', 'facility', ':', 'September', '17,201', '0', '--', 'Deep', 'Sea', 'Intervention', 'has', 'opened', '...', 'http://bit.ly/cZZGj7']"
227,"['Telly', 'was', 'junk', 'last', 'week']"
228,"['Gonna', 'be', 'on', 'national', 'television', 'monday', 'and', 'on', 'the', 'internet', 'tuesday', '.', 'Interview', ""'"", 'cause', 'of', 'the', 'text', 'I', 'wrote', 'on', 'the', 'day', 'against', 'homophobia']"
229,"['RT', '@DonnieWahlberg', ':', 'Soldiers', '...', 'Familia', '...', ""BH's..."", 'NK', 'Fam', '...', 'Homies', '...', 'Etc', '.', 'Etc', '.', 'Etc', '....', 'I', ""'m"", 'gonna', 'need', 'some', 'company', 'next', 'Friday', 'in', 'NYC', '...']"
230,"['@lennaraye', 'i', 'know', 'its', 'awful', '.', 'i', 'hate', 'the', 'feeling', 'of', 'being', 'passed', 'even', 'when', 'im', 'going', 'a', 'little', 'bit', 'over', 'speed', 'limit']"
231,"['Read', 'so', 'much', 'on', 'India', ',', 'looks', 'like', 'a', 'cert', 'for', 'future', 'vacation', ',', 'when', ""I'm"", 'retired', 'probably', '-', 'http://bit.ly/b9vMjW']"
232,"['Next', 'time', ""you'll"", 'show', 'restraint', 'you', ""don't"", 'get', 'another', 'chance', 'life', 'is', 'no', 'nintendo', 'game', 'but', 'you', 'lied', 'again', 'now', 'you', 'get', 'to', 'watch', 'her', 'leave']"
233,"[""'@Lovelylanvin"", 'Oh', 'ugh', '.', 'Should', 'never', 'do', '#ff', 'before', 'coffee', '.', 'You', 'should', 'have', 'been', 'in', 'the', '""', 'tweeps', 'who', 'are', 'friends', 'IRL', '""', 'Sorry', ""!'""]"
234,"['Grammar', 'Boot', 'Camp', 'starts', 'on', 'Monday', '!', '7th', 'graders', 'should', 'be', 'ready', 'to', 'GO-GO-GO', '!!!!', '8th', 'Graders', 'have', 'a', 'big', 'project', 'due', 'next', 'Friday', '...', 'be', 'ready', '!']"
235,"['I', 'wanna', 'go', 'to', 'the', 'mall', 'SO', 'bad', '.', 'Not', 'enough', 'hours', 'in', 'a', 'day']"
236,"['[', 'Reuters', 'Govt', 'Reg', ']', 'UPDATE', '1-Tighter', 'rules', 'for', 'market', 'makers', ""post-'flash"", ""crash':"", 'NEW', 'YORK', ',', 'Sept', '17', '(', 'Reuters', ')', '-', 'U', '.', 'S', '....', 'http://bit.ly/bWUyBR']"
237,"['@aplusk', 'What', 'made', 'you', 'laugh', '?', 'This', 'did', ',', 'courtesy', 'of', '@rainnwilson', 'http://www.officetally.com/rainn-wilson-and-friends-seattle-oct-23']"
238,"['@HotwifeKay', 'after', 'Big', 'Maxxx', '@killerCram', '""', 'left', 'his', 'mark', '""', 'on', 'my', 'hottie', 'SlutWife', ':', 'http://tinyurl.com/25gxuvq']"
239,"['i', 'want', 'a', 'bath', 'but', 'do', ""n't"", 'have', 'a', 'bath', ',', 'shut', 'up', ',', 'sam', ""'s"", 'coming', 'tomorrow', 'and', 'steve', 'and', 'tanya', 'will', 'be', 'round', 'at', '10am', 'so', 'go', 'away', 'you', 'mean', 'people']"
240,"[""'@krtgrphr"", 'it', 'was', '""', 'Oo', 'Harii', '""', 'once', 'upon', 'a', 'time', '..', 'and', 'the', '666', 'depict', 'moodu', 'namalu', ""..'""]"
241,"['i', 'just', 'woke', 'up', 'from', 'the', 'worst', 'nap', 'eva', '..', 'arggghhh', '!', 'now', 'its', 'time', 'for', 'work', '..', 'double', 'arggghhh', '!!']"
242,"['Over', '1', ',', '5', 'week', 'sta', 'ik', 'in', 'de', 'keuken', 'bij', 'Delphi', '...', 'ik', 'word', 'toch', 'ooit', 'nog', 'kok', '!']"
243,"['If', 'I', 'had', 'one', 'wish', 'it', 'would', 'be', 'to', 'drive', 'bugatti', 'V', 'for', 'a', 'day', '!', 'Pretty', 'pls', 'fix', 'it', 'for', 'me', 'jim', '!', 'Xxx']"
244,"['I', 'want', 'it', 'NOW', '!', ';)', 'RT', ':', '@corsairartisan', 'Pumpkin', 'Moonshine', 'has', 'arrived', 'in', 'Nashville', '--', 'Give', 'it', 'a', 'week', 'to', 'get', 'it', 'in', 'stores', '.', 'KY', 'ships', 'next', 'week', '!']"
245,"['its', 'time', 'for', 'the', 'devil', 'to', 'dance', '.', '.', '.']"
246,"['Not', 'feeling', 'up', 'to', 'par', 'today', '.', '#stressing']"
247,"['RT', '@aBaddBeautyy', ':', 'What', 'did', 'you', 'say', 'is', 'happening', 'at', 'your', 'house', 'tonite', '@FlyHighBird', '?', '*cough*', '--', '&gt;', '&gt;', '*cough*']"
248,"['@CULTOFMIKEY', 'It', ""'s"", 'too', 'long', ',', 'and', 'it', 'just', '...', 'I', 'do', ""n't"", 'know', ',', 'it', 'sounds', 'cliche', '.', 'And', 'dumb', '.', 'My', 'sister', 'wants', 'to', 'cry', 'she', 'hates', 'it', 'so', 'much', '.']"
249,"['been', 'reading', 'shit', 'about', 'ppl', ""have'n"", 'neon', 'shit', 'and', ""black'n"", 'out', 'after', 'a', 'night', 'of', '#4lokos', 'lol', 'iown', 'kno', 'if', 'I', 'can', 'trust', 'it', 'lol', '@JUICEBOXX513']"
250,"['@rattleknackers', 'amusing', '?', 'This', 'is', 'some', 'of', 'the', 'greatest', 'music', 'of', 'all', 'time', ',', 'my', 'foot', 'has', ""n't"", 'stopped', 'tapping', 'all', 'night']"
251,"['Train', 'with', 'us', 'for', 'the', 'HCA', '8K', '!', 'We', 'start', 'tomorrow', 'morning', 'at', '7:30', 'am', 'at', 'the', 'showroom', '!']"
252,"['Jan', 'Brewer', ':', 'Beheadings', '?', 'http://bit.ly/a2LBMP']"
253,"['only', 'on', 'the', '#LateLate', 'can', 'i', 'find', 'respect', 'for', '#desbishop', ',', 'he', ""'s"", 'actually', 'pretty', 'funny', ',', 'never', 'liked', 'him', 'before', 'this', 'point', '.']"
254,"['tell', 'ur', 'dad2bring', 'the', 'ypp', 'back', 'in', 'Hayes', 'we', 'sorted', 'it', 'out', 'last', 'time', ""I'm"", 'like', 'yea', ""I'll"", 'tell', 'him', '*covers', 'eyes*wat', 'informing', 'am', 'I', 'doing', '#llowit']"
255,"['@shaikhamah', 'oh', 'yeah', '30th', '.', 'Sorry', 'I', 'am', 'lost', 'in', 'time', ',', 'my', 'apologies', 'm(', '.', '_', '.', ')m']"
256,"['this', 'is', 'what', 'we', 'do', 'when', 'we', 'have', 'no', 'picture', 'ideas', '.', 'http://twitpic.com/2pdzm0']"
257,"['ThAnK', 'gOd', 'ItS', 'fRiDaY', '!!']"
258,"['RT', '@OMGwhatateen', ':', 'RT', 'if', 'you', 'are', 'happy', 'it', ""'s"", 'friday', '.', '#OMGwhatateen']"
259,"['@wackeychan', 'Awesome', '!', 'First', 'episode', 'goes', 'up', 'two', 'weeks', 'from', 'Monday', '.', 'Hope', 'it', 'meets', 'your', 'expectations', '.']"
260,"['even', 'better', 'than', 'cocktail', 'friday', '!', 'http://is.gd/ffDb9']"
261,"['It', 'makes', 'me', '#aggy', 'when', 'I', 'c', '#OneoFMYfollowErs', 'retweet', 'her', 'crock', 'of', 'shyt', 'disguised', 'as', 'a', 'tweet', 'lol']"
262,"['@jonronson', 'Ask', 'yourself', 'what', 'the', 'Mail', 'on', 'Sunday', 'would', 'do', ',', 'and', 'do', 'the', 'opposite', '.']"
263,"['Always', 'wondered', 'which', 'species', 'had', 'the', 'highest', 'biomass', 'RT', '@NatGeoSociety', ':', 'Friday', 'Fact', ':', 'The', 'world', ""'s"", 'termites', 'outweigh', 'the', 'world', ""'s"", 'people']"
264,"[""'I"", 'just', 'took', '""', 'Justin', 'Bieber', 'takes', '2', 'months', 'off', 'career', 'to', 'finish', 'school', ',', 'H', '...""', 'and', 'got', ':', 'Part', '25', ':', 'They', 'got', 'my', 'back', '.!', 'Try', 'it', ':', ""http://bit.ly/bcqNCs'""]"
265,"['When', 'your', 'database', 'of', 'all', 'staff', 'is', 'on', 'a', 'flash', 'drive', 'that', 'goes', 'missing', '#flash', '#database', '#Security', 'http://bit.ly/b1lWKW']"
266,"['RT', '@claywsyx6', ':', 'THE', 'FOOTBALL', 'FEVER', ':', 'Ohio', 'head', 'coach', 'Frank', 'Solich', 'says', 'Ohio', 'State', 'knows', 'they', 'have', 'a', 'special', 'team', 'and', 'season', 'underway', '.', 'Long', '...']"
267,"['That', ""'s"", 'when', 'you', 'start', 'to', 'laugh', '.', 'Saying', 'I', 'just', 'want', 'what', 'I', ""can't"", 'have', '.', ""Won't"", 'even', 'give', 'me', 'a', 'chance', '.']"
268,"['@BeLIEveNcRisS', 'omg', 'yayyy', 'I', 'got', 'mine', 'today', 'too', '!!!!!', ':D', ""didn't"", 'have', 'time', 'to', 'try', 'it', 'on', 'tho', '!!', 'I', 'was', 'running', 'out', 'the', 'door', 'to', 'go', 'to', 'the', 'concert', '!:', ')']"
269,"['RT', '@TeamShaneDawson', ':', 'RT', 'If', 'you', 'think', '@AntiShaneDawson', 'is', 'a', '10', 'year', 'old', 'without', 'a', 'penis', 'to', 'play', 'with', 'so', 'they', 'hate', 'on', 'Shane', 'instead', ':(', "":'"", ')']"
